Time,Container ID,CPU Usage (%),Memory Usage
2024-03-12 10:25:28,590e7c9e393e,12.04%,872.7MiB / 31.34GiB
2024-03-12 10:25:30,590e7c9e393e,8.40%,874MiB / 31.34GiB
2024-03-12 10:25:32,590e7c9e393e,15.61%,893.1MiB / 31.34GiB
2024-03-12 10:25:34,590e7c9e393e,16.47%,898.5MiB / 31.34GiB
2024-03-12 10:25:36,590e7c9e393e,13.84%,907.7MiB / 31.34GiB
2024-03-12 10:25:38,590e7c9e393e,80.17%,912.4MiB / 31.34GiB
2024-03-12 10:25:40,590e7c9e393e,72.30%,909.3MiB / 31.34GiB
2024-03-12 10:25:42,590e7c9e393e,71.58%,916.2MiB / 31.34GiB
2024-03-12 10:25:44,590e7c9e393e,106.69%,921.8MiB / 31.34GiB
2024-03-12 10:25:46,590e7c9e393e,62.54%,924.4MiB / 31.34GiB
2024-03-12 10:25:48,590e7c9e393e,34.92%,926.2MiB / 31.34GiB
2024-03-12 10:25:50,590e7c9e393e,12.57%,927.3MiB / 31.34GiB
2024-03-12 10:25:52,590e7c9e393e,37.02%,929.4MiB / 31.34GiB
2024-03-12 10:25:54,590e7c9e393e,9.06%,930.3MiB / 31.34GiB
2024-03-12 10:25:56,590e7c9e393e,1.36%,930.4MiB / 31.34GiB
2024-03-12 10:25:58,590e7c9e393e,1.30%,930.5MiB / 31.34GiB
2024-03-12 10:26:00,590e7c9e393e,2.14%,930.5MiB / 31.34GiB
2024-03-12 10:26:02,590e7c9e393e,18.15%,932.2MiB / 31.34GiB
2024-03-12 10:26:04,590e7c9e393e,15.73%,933.8MiB / 31.34GiB
2024-03-12 10:26:06,590e7c9e393e,14.29%,935.6MiB / 31.34GiB
2024-03-12 10:26:08,590e7c9e393e,17.76%,937.2MiB / 31.34GiB
2024-03-12 10:26:10,590e7c9e393e,34.02%,938.8MiB / 31.34GiB
2024-03-12 10:26:12,590e7c9e393e,12.84%,939.6MiB / 31.34GiB
