Time,Container ID,CPU Usage (%),Memory Usage / Limit,Memory Usage (%)
2024-03-09 10:24:54,cbd02fa2bee4,16.19%,1.069GiB / 31.34GiB,3.41%
2024-03-09 10:24:57,cbd02fa2bee4,1.16%,1.069GiB / 31.34GiB,3.41%
2024-03-09 10:25:01,cbd02fa2bee4,11.27%,1.07GiB / 31.34GiB,3.41%
2024-03-09 10:25:04,cbd02fa2bee4,19.69%,1.078GiB / 31.34GiB,3.44%
2024-03-09 10:25:08,cbd02fa2bee4,20.46%,1.087GiB / 31.34GiB,3.47%
2024-03-09 10:25:11,cbd02fa2bee4,17.61%,1.071GiB / 31.34GiB,3.42%
2024-03-09 10:25:15,cbd02fa2bee4,12.48%,1.071GiB / 31.34GiB,3.42%
2024-03-09 10:25:18,cbd02fa2bee4,12.36%,1.072GiB / 31.34GiB,3.42%
2024-03-09 10:25:22,cbd02fa2bee4,5.08%,1.072GiB / 31.34GiB,3.42%
2024-03-09 10:25:25,cbd02fa2bee4,4.68%,1.072GiB / 31.34GiB,3.42%
2024-03-09 10:25:29,cbd02fa2bee4,7.74%,1.072GiB / 31.34GiB,3.42%
2024-03-09 10:25:32,cbd02fa2bee4,1.07%,1.072GiB / 31.34GiB,3.42%
2024-03-09 10:25:36,cbd02fa2bee4,5.67%,1.072GiB / 31.34GiB,3.42%
2024-03-09 10:25:40,cbd02fa2bee4,2.88%,1.073GiB / 31.34GiB,3.42%
2024-03-09 10:25:43,cbd02fa2bee4,10.89%,1.073GiB / 31.34GiB,3.42%
2024-03-09 10:25:47,cbd02fa2bee4,10.91%,1.073GiB / 31.34GiB,3.42%
2024-03-09 10:25:50,cbd02fa2bee4,10.92%,1.074GiB / 31.34GiB,3.43%
2024-03-09 10:25:54,cbd02fa2bee4,13.69%,1.074GiB / 31.34GiB,3.43%
2024-03-09 10:25:57,cbd02fa2bee4,0.79%,1.074GiB / 31.34GiB,3.43%
2024-03-09 10:26:01,cbd02fa2bee4,10.05%,1.074GiB / 31.34GiB,3.43%
2024-03-09 10:26:04,cbd02fa2bee4,1.70%,1.076GiB / 31.34GiB,3.43%
2024-03-09 10:26:08,cbd02fa2bee4,10.67%,1.076GiB / 31.34GiB,3.43%
2024-03-09 10:26:11,cbd02fa2bee4,3.65%,1.076GiB / 31.34GiB,3.43%
2024-03-09 10:26:15,cbd02fa2bee4,11.09%,1.076GiB / 31.34GiB,3.43%
2024-03-09 10:26:18,cbd02fa2bee4,13.80%,1.076GiB / 31.34GiB,3.43%
2024-03-09 10:26:22,cbd02fa2bee4,13.31%,1.077GiB / 31.34GiB,3.44%
2024-03-09 10:26:25,cbd02fa2bee4,12.69%,1.077GiB / 31.34GiB,3.44%
2024-03-09 10:26:29,cbd02fa2bee4,7.72%,1.077GiB / 31.34GiB,3.44%
2024-03-09 10:26:32,cbd02fa2bee4,12.41%,1.077GiB / 31.34GiB,3.44%
2024-03-09 10:26:36,cbd02fa2bee4,1.21%,1.077GiB / 31.34GiB,3.44%
2024-03-09 10:26:39,cbd02fa2bee4,14.21%,1.078GiB / 31.34GiB,3.44%
2024-03-09 10:26:43,cbd02fa2bee4,10.16%,1.078GiB / 31.34GiB,3.44%
2024-03-09 10:26:47,cbd02fa2bee4,10.84%,1.078GiB / 31.34GiB,3.44%
2024-03-09 10:26:50,cbd02fa2bee4,1.94%,1.078GiB / 31.34GiB,3.44%
2024-03-09 10:26:54,cbd02fa2bee4,12.38%,1.079GiB / 31.34GiB,3.44%
2024-03-09 10:26:57,cbd02fa2bee4,10.67%,1.079GiB / 31.34GiB,3.44%
2024-03-09 10:27:01,cbd02fa2bee4,12.57%,1.079GiB / 31.34GiB,3.44%
2024-03-09 10:27:04,cbd02fa2bee4,14.54%,1.079GiB / 31.34GiB,3.44%
2024-03-09 10:27:08,cbd02fa2bee4,6.54%,1.08GiB / 31.34GiB,3.45%
2024-03-09 10:27:11,cbd02fa2bee4,9.93%,1.08GiB / 31.34GiB,3.45%
2024-03-09 10:27:15,cbd02fa2bee4,12.76%,1.08GiB / 31.34GiB,3.45%
2024-03-09 10:27:18,cbd02fa2bee4,11.70%,1.08GiB / 31.34GiB,3.45%
2024-03-09 10:27:22,cbd02fa2bee4,14.64%,1.081GiB / 31.34GiB,3.45%
2024-03-09 10:27:25,cbd02fa2bee4,9.93%,1.081GiB / 31.34GiB,3.45%
2024-03-09 10:27:29,cbd02fa2bee4,3.14%,1.081GiB / 31.34GiB,3.45%
2024-03-09 10:27:33,cbd02fa2bee4,9.81%,1.081GiB / 31.34GiB,3.45%
2024-03-09 10:27:36,cbd02fa2bee4,7.86%,1.082GiB / 31.34GiB,3.45%
2024-03-09 10:27:40,cbd02fa2bee4,14.84%,1.082GiB / 31.34GiB,3.45%
2024-03-09 10:27:43,cbd02fa2bee4,5.04%,1.082GiB / 31.34GiB,3.45%
2024-03-09 10:27:47,cbd02fa2bee4,12.69%,1.082GiB / 31.34GiB,3.45%
2024-03-09 10:27:50,cbd02fa2bee4,17.64%,1.083GiB / 31.34GiB,3.46%
2024-03-09 10:27:54,cbd02fa2bee4,1.43%,1.083GiB / 31.34GiB,3.46%
2024-03-09 10:27:57,cbd02fa2bee4,7.75%,1.083GiB / 31.34GiB,3.46%
2024-03-09 10:28:01,cbd02fa2bee4,11.35%,1.083GiB / 31.34GiB,3.46%
2024-03-09 10:28:04,cbd02fa2bee4,2.89%,1.09GiB / 31.34GiB,3.48%
2024-03-09 10:28:08,cbd02fa2bee4,8.49%,1.1GiB / 31.34GiB,3.51%
2024-03-09 10:28:11,cbd02fa2bee4,14.14%,1.084GiB / 31.34GiB,3.46%
2024-03-09 10:28:15,cbd02fa2bee4,4.90%,1.084GiB / 31.34GiB,3.46%
2024-03-09 10:28:18,cbd02fa2bee4,15.16%,1.085GiB / 31.34GiB,3.46%
2024-03-09 10:28:22,cbd02fa2bee4,14.19%,1.085GiB / 31.34GiB,3.46%
2024-03-09 10:28:25,cbd02fa2bee4,12.07%,1.085GiB / 31.34GiB,3.46%
2024-03-09 10:28:29,cbd02fa2bee4,14.71%,1.086GiB / 31.34GiB,3.46%
2024-03-09 10:28:33,cbd02fa2bee4,16.18%,1.086GiB / 31.34GiB,3.47%
2024-03-09 10:28:36,cbd02fa2bee4,5.66%,1.086GiB / 31.34GiB,3.47%
2024-03-09 10:28:40,cbd02fa2bee4,6.93%,1.086GiB / 31.34GiB,3.47%
2024-03-09 10:28:43,cbd02fa2bee4,2.90%,1.086GiB / 31.34GiB,3.47%
2024-03-09 10:28:47,cbd02fa2bee4,8.40%,1.086GiB / 31.34GiB,3.47%
2024-03-09 10:28:50,cbd02fa2bee4,3.36%,1.086GiB / 31.34GiB,3.47%
2024-03-09 10:28:54,cbd02fa2bee4,9.25%,1.087GiB / 31.34GiB,3.47%
2024-03-09 10:28:57,cbd02fa2bee4,7.64%,1.087GiB / 31.34GiB,3.47%
2024-03-09 10:29:01,cbd02fa2bee4,8.73%,1.087GiB / 31.34GiB,3.47%
2024-03-09 10:29:04,cbd02fa2bee4,16.23%,1.118GiB / 31.34GiB,3.57%
2024-03-09 10:29:08,cbd02fa2bee4,28.40%,1.106GiB / 31.34GiB,3.53%
2024-03-09 10:29:11,cbd02fa2bee4,9.79%,1.104GiB / 31.34GiB,3.52%
2024-03-09 10:29:15,cbd02fa2bee4,1.92%,1.104GiB / 31.34GiB,3.52%
2024-03-09 10:29:18,cbd02fa2bee4,12.86%,1.104GiB / 31.34GiB,3.52%
