Time,Container ID,CPU Usage (%),Memory Usage / Limit,Memory Usage (%)
2024-03-09 10:17:04,cbd02fa2bee4,11.80%,868.5MiB / 31.34GiB,2.71%
2024-03-09 10:17:07,cbd02fa2bee4,8.98%,871.1MiB / 31.34GiB,2.71%
2024-03-09 10:17:11,cbd02fa2bee4,6.80%,873.4MiB / 31.34GiB,2.72%
2024-03-09 10:17:14,cbd02fa2bee4,12.59%,875.4MiB / 31.34GiB,2.73%
2024-03-09 10:17:18,cbd02fa2bee4,9.99%,878.4MiB / 31.34GiB,2.74%
2024-03-09 10:17:21,cbd02fa2bee4,9.92%,881.1MiB / 31.34GiB,2.75%
2024-03-09 10:17:25,cbd02fa2bee4,6.33%,882.4MiB / 31.34GiB,2.75%
2024-03-09 10:17:28,cbd02fa2bee4,10.95%,884.6MiB / 31.34GiB,2.76%
2024-03-09 10:17:32,cbd02fa2bee4,10.04%,887.1MiB / 31.34GiB,2.76%
2024-03-09 10:17:35,cbd02fa2bee4,1.56%,889.3MiB / 31.34GiB,2.77%
2024-03-09 10:17:39,cbd02fa2bee4,11.65%,890.3MiB / 31.34GiB,2.77%
2024-03-09 10:17:42,cbd02fa2bee4,5.00%,892.8MiB / 31.34GiB,2.78%
2024-03-09 10:17:46,cbd02fa2bee4,11.95%,894.2MiB / 31.34GiB,2.79%
2024-03-09 10:17:50,cbd02fa2bee4,8.94%,896.5MiB / 31.34GiB,2.79%
2024-03-09 10:17:53,cbd02fa2bee4,10.67%,899.1MiB / 31.34GiB,2.80%
2024-03-09 10:17:57,cbd02fa2bee4,9.36%,901.4MiB / 31.34GiB,2.81%
2024-03-09 10:18:00,cbd02fa2bee4,1.26%,902.9MiB / 31.34GiB,2.81%
2024-03-09 10:18:04,cbd02fa2bee4,21.59%,906.6MiB / 31.34GiB,2.83%
2024-03-09 10:18:07,cbd02fa2bee4,18.43%,927MiB / 31.34GiB,2.89%
2024-03-09 10:18:11,cbd02fa2bee4,46.10%,922.5MiB / 31.34GiB,2.87%
2024-03-09 10:18:15,cbd02fa2bee4,1.41%,922.7MiB / 31.34GiB,2.88%
2024-03-09 10:18:18,cbd02fa2bee4,222.47%,955.7MiB / 31.34GiB,2.98%
2024-03-09 10:18:22,cbd02fa2bee4,211.85%,967.6MiB / 31.34GiB,3.02%
2024-03-09 10:18:25,cbd02fa2bee4,149.64%,981.3MiB / 31.34GiB,3.06%
2024-03-09 10:18:29,cbd02fa2bee4,178.78%,979.4MiB / 31.34GiB,3.05%
2024-03-09 10:18:32,cbd02fa2bee4,149.56%,981.2MiB / 31.34GiB,3.06%
2024-03-09 10:18:36,cbd02fa2bee4,24.12%,981.2MiB / 31.34GiB,3.06%
2024-03-09 10:18:39,cbd02fa2bee4,126.60%,988.1MiB / 31.34GiB,3.08%
2024-03-09 10:18:43,cbd02fa2bee4,181.92%,987.1MiB / 31.34GiB,3.08%
2024-03-09 10:18:46,cbd02fa2bee4,114.74%,992.6MiB / 31.34GiB,3.09%
2024-03-09 10:18:50,cbd02fa2bee4,2.36%,988.8MiB / 31.34GiB,3.08%
2024-03-09 10:18:53,cbd02fa2bee4,154.57%,990.4MiB / 31.34GiB,3.09%
2024-03-09 10:18:57,cbd02fa2bee4,148.27%,996.9MiB / 31.34GiB,3.11%
2024-03-09 10:19:00,cbd02fa2bee4,153.86%,993.7MiB / 31.34GiB,3.10%
2024-03-09 10:19:04,cbd02fa2bee4,132.94%,1012MiB / 31.34GiB,3.15%
2024-03-09 10:19:07,cbd02fa2bee4,19.86%,1.021GiB / 31.34GiB,3.26%
2024-03-09 10:19:11,cbd02fa2bee4,22.47%,1.015GiB / 31.34GiB,3.24%
2024-03-09 10:19:15,cbd02fa2bee4,13.92%,1.017GiB / 31.34GiB,3.24%
2024-03-09 10:19:18,cbd02fa2bee4,10.08%,1.018GiB / 31.34GiB,3.25%
2024-03-09 10:19:22,cbd02fa2bee4,1.37%,1.018GiB / 31.34GiB,3.25%
2024-03-09 10:19:25,cbd02fa2bee4,3.88%,1.018GiB / 31.34GiB,3.25%
2024-03-09 10:19:29,cbd02fa2bee4,8.05%,1.018GiB / 31.34GiB,3.25%
2024-03-09 10:19:32,cbd02fa2bee4,6.49%,1.019GiB / 31.34GiB,3.25%
2024-03-09 10:19:36,cbd02fa2bee4,10.86%,1.019GiB / 31.34GiB,3.25%
2024-03-09 10:19:39,cbd02fa2bee4,9.24%,1.02GiB / 31.34GiB,3.25%
2024-03-09 10:19:43,cbd02fa2bee4,2.31%,1.02GiB / 31.34GiB,3.25%
2024-03-09 10:19:46,cbd02fa2bee4,10.20%,1.02GiB / 31.34GiB,3.26%
2024-03-09 10:19:50,cbd02fa2bee4,10.04%,1.021GiB / 31.34GiB,3.26%
2024-03-09 10:19:53,cbd02fa2bee4,2.29%,1.021GiB / 31.34GiB,3.26%
2024-03-09 10:19:57,cbd02fa2bee4,8.83%,1.022GiB / 31.34GiB,3.26%
2024-03-09 10:20:00,cbd02fa2bee4,1.51%,1.022GiB / 31.34GiB,3.26%
2024-03-09 10:20:04,cbd02fa2bee4,10.09%,1.024GiB / 31.34GiB,3.27%
2024-03-09 10:20:08,cbd02fa2bee4,12.73%,1.024GiB / 31.34GiB,3.27%
2024-03-09 10:20:11,cbd02fa2bee4,15.41%,1.024GiB / 31.34GiB,3.27%
2024-03-09 10:20:15,cbd02fa2bee4,10.93%,1.025GiB / 31.34GiB,3.27%
2024-03-09 10:20:18,cbd02fa2bee4,1.09%,1.025GiB / 31.34GiB,3.27%
2024-03-09 10:20:22,cbd02fa2bee4,11.85%,1.026GiB / 31.34GiB,3.27%
2024-03-09 10:20:25,cbd02fa2bee4,1.79%,1.026GiB / 31.34GiB,3.27%
2024-03-09 10:20:29,cbd02fa2bee4,17.30%,1.027GiB / 31.34GiB,3.28%
2024-03-09 10:20:32,cbd02fa2bee4,10.64%,1.027GiB / 31.34GiB,3.28%
2024-03-09 10:20:36,cbd02fa2bee4,10.71%,1.028GiB / 31.34GiB,3.28%
2024-03-09 10:20:39,cbd02fa2bee4,2.77%,1.028GiB / 31.34GiB,3.28%
2024-03-09 10:20:43,cbd02fa2bee4,11.13%,1.028GiB / 31.34GiB,3.28%
2024-03-09 10:20:46,cbd02fa2bee4,15.73%,1.029GiB / 31.34GiB,3.28%
2024-03-09 10:20:50,cbd02fa2bee4,10.03%,1.029GiB / 31.34GiB,3.28%
2024-03-09 10:20:54,cbd02fa2bee4,11.23%,1.03GiB / 31.34GiB,3.29%
2024-03-09 10:20:57,cbd02fa2bee4,4.72%,1.03GiB / 31.34GiB,3.29%
2024-03-09 10:21:01,cbd02fa2bee4,12.42%,1.031GiB / 31.34GiB,3.29%
2024-03-09 10:21:04,cbd02fa2bee4,13.19%,1.031GiB / 31.34GiB,3.29%
