Timestamp,Transaction_Type,MIN,P50%,P95%,P99%,MAX
11:03:43,PAYMENT,1060,1527.5,2442,77772,171755
11:03:43,DELIVERY,1971,3076,5833,67661,100188
11:03:43,SLEV,1283,1591,73433,77616,78945
11:03:43,OSTAT,479,735.5,1035,1092,1279
11:03:53,NEWORD,1362,1949.5,61923,225491,332242
11:03:53,PAYMENT,1158,1594,70830,231760,308863
11:03:53,DELIVERY,2324,2869.5,44752,214355,214355
11:03:53,SLEV,1404,1613,2293.5,73613,73613
11:03:53,OSTAT,495,661.5,912,1061,1061
11:04:03,NEWORD,1352,1923,6514,142495,216524
11:04:03,PAYMENT,1126,1539.5,2448,85536,244539
11:04:03,DELIVERY,2222,2878,3823,141551,156093
11:04:03,SLEV,1453,1675,76851,78448,83285
11:04:03,OSTAT,491,727,1164,1660,1882
11:04:13,NEWORD,1319,1901,3000,97841,352182
11:04:13,PAYMENT,1078,1516,2902,153500,195632
11:04:13,DELIVERY,2197,2856,3905,64133,64775
11:04:13,SLEV,1418,1645.5,75373,76800,78360
11:04:13,OSTAT,478,711.5,1065,1110,1383
11:04:23,NEWORD,1354,1867,3690,88101,212948
11:04:23,PAYMENT,1108,1525,3178,143297,437809
11:04:23,DELIVERY,2378,2771,5499,132433,210614
11:04:23,SLEV,1378,1657.5,75386,78380,78421
11:04:23,OSTAT,465,729,1063,1438,1495
11:04:33,NEWORD,1375,2060,20959,144322,268106
11:04:33,PAYMENT,1099,1687,21251,123895,264498
11:04:33,DELIVERY,2485,3316,4839,5596,19783
11:04:33,SLEV,1448,1820,84862,90744,96688
11:04:33,OSTAT,496,756,1185,1390,1580
11:04:43,NEWORD,1345,1904,3365,101578,274035
11:04:43,PAYMENT,1102,1551.5,3206,162642,261798
11:04:43,DELIVERY,2370,2978,4115,185583,223516
11:04:43,SLEV,1404,1635.5,2491,2672,2931
11:04:43,OSTAT,511,701.5,1162,1228,1465
11:04:53,NEWORD,1480,3054,103945,239834,269727
11:04:53,PAYMENT,1151,1732.5,6591,226159,281326
11:04:53,DELIVERY,2825,4113,86973,249483,249483
11:04:53,SLEV,1408,1682,2093,2389,2389
11:04:53,OSTAT,562,754,1040,1144,1144
11:05:03,NEWORD,1782,2822,84376,213527,255480
11:05:03,PAYMENT,1147,1646,19212,152848,190951
11:05:03,DELIVERY,2940,3758,5654,7198,7198
11:05:03,SLEV,1386,1619,1997,2192,2490
11:05:03,OSTAT,489,683.5,975,1263,1263
11:05:13,NEWORD,1877,3070.5,46816,184262,299691
11:05:13,PAYMENT,1193,1917,21817,151423,228714
11:05:13,DELIVERY,3360,4386,5797,42819,131008
11:05:13,SLEV,1457,1866,2872,3219,3219
11:05:13,OSTAT,536,838,1370,1469,1479
11:05:23,NEWORD,1536,2660,4592,176213,256163
11:05:23,PAYMENT,1205,1718,3125,170728,264297
11:05:23,DELIVERY,2939,3640.5,5030,57957,146106
11:05:23,SLEV,1418,1782,2371,2975,3223
11:05:23,OSTAT,478,757.5,1153,1446,1661
11:05:33,NEWORD,1681,2643.5,4963,169875.5,338364
11:05:33,PAYMENT,1164,1666,4250,196374,345933
11:05:33,DELIVERY,2691,3733.5,99102,217056,217056
11:05:33,SLEV,1347,1859,2554,2713,2898
11:05:33,OSTAT,527,808,1181,1246,1260
11:05:43,NEWORD,1572,2653,44423,203290,242504
11:05:43,PAYMENT,1157,1688,2978,84405,211203
11:05:43,DELIVERY,2828,4010,103967.5,146931,208769
11:05:43,SLEV,1502,2138,2784,3055,3179
11:05:43,OSTAT,533,773,1233,1485,1632
11:05:53,NEWORD,1428,2698,10416,191379,432728
11:05:53,PAYMENT,1135,1831,23236,201167,428892
11:05:53,DELIVERY,2973,4393,40394,135423,194010
11:05:53,SLEV,1519,2235,3016,3153,3153
11:05:53,OSTAT,600,928,1806,2159,2159
11:06:03,NEWORD,1505,2345,3972,165932,245569
11:06:03,PAYMENT,1064,1611,2599,147835,230920
11:06:03,DELIVERY,2573,3411,5421,105934,210209
11:06:03,SLEV,1446,1790,2554,2617,2896
11:06:03,OSTAT,484,827,1310,1337,64569
11:06:13,NEWORD,1453,2334,3674,199987,465639
11:06:13,PAYMENT,1151,1645,3072,93943,222797
11:06:13,DELIVERY,2584,3441,5426,6171,72993
11:06:13,SLEV,1456,1947,2829,3125,3305
11:06:13,OSTAT,556,783.5,1314,1363,1400
