Timestamp,Transaction_Type,MIN,P50%,P95%,P99%,MAX
21:53:24,NEWORD,2171,3671.5,4915,5883,9412
21:53:24,PAYMENT,1280,1621,2109,2526,6622
21:53:24,DELIVERY,3906,4931,9321,10086,10086
21:53:24,SLEV,1440,3051,5087,5282,5282
21:53:24,OSTAT,577,907.5,1444,1510,1510
21:53:26,NEWORD,1728,3132.5,4064,4382,7366
21:53:26,PAYMENT,1082,1558,1944,2289,6686
21:53:26,DELIVERY,3464,3989.5,4513,4537,4537
21:53:26,SLEV,1339,1620.5,2121,2992,2992
21:53:26,OSTAT,573,791.5,987,2750,2750
21:53:28,NEWORD,1689,2858.5,3756.5,5285,40797
21:53:28,PAYMENT,1151,1552,1911,2847,3509
21:53:28,DELIVERY,3118,3842.5,4617,4858,4858
21:53:28,SLEV,1420,1587.5,2654,2848,2848
21:53:28,OSTAT,559,726.5,877,916,916
21:53:30,NEWORD,1703,2763,4044,151631,178190
21:53:30,PAYMENT,1188,1558,2388,115711,164581
21:53:30,DELIVERY,3226,3813,33254.5,61961,61961
21:53:30,SLEV,1413,1555,1660,1804,1804
21:53:30,OSTAT,571,710,828,1056,1056
21:53:32,NEWORD,1799,2677,3825,172987,174083
21:53:32,PAYMENT,1214,1560,2160,75797,183634
21:53:32,DELIVERY,3020,3726,4230,88709,88709
21:53:32,SLEV,1411,1599,1759,1861,1861
21:53:32,OSTAT,542,703,1142,1142,1142
21:53:34,NEWORD,1700,2603,77367,272031,281394
21:53:34,PAYMENT,1223,1540,3092,168948,203025
21:53:34,DELIVERY,3026,3540.5,3809,3809,3809
21:53:34,SLEV,1387,1569,1753,1753,1753
21:53:34,OSTAT,526,828,978,978,978
21:53:36,NEWORD,1709,2600.5,3452,196229,196304
21:53:36,PAYMENT,1129,1539.5,1995,110562,206750
21:53:36,DELIVERY,2746,3456,4134,4405,4405
21:53:36,SLEV,1435,1571.5,1780,1824,1824
21:53:36,OSTAT,526,754,874,918,918
21:53:38,NEWORD,1652,2399,3431,98953,171630
21:53:38,PAYMENT,1171,1502,2421,157764,200842
21:53:38,DELIVERY,3016,3683.5,81910,81910,81910
21:53:38,SLEV,1453,1508,1702,1717,1717
21:53:38,OSTAT,511,709.5,861,863,863
21:53:40,NEWORD,1598,2517,3570,198159,203960
21:53:40,PAYMENT,1127,1504,1950,91073,95091
21:53:40,DELIVERY,2765,3426,3642,3689,3689
21:53:40,SLEV,1369,1473,1660,1667,1667
21:53:40,OSTAT,508,695.5,838,842,842
21:53:42,NEWORD,1737,2485,3571,86769,220330
21:53:42,PAYMENT,1149,1507,2083,50831,80231
21:53:42,DELIVERY,2849,3562,5542,158424,158424
21:53:42,SLEV,1371,1548,1856,2052,2052
21:53:42,OSTAT,518,720,1033,1117,1117
21:53:44,NEWORD,1630,2377.5,3207,23891,74948
21:53:44,PAYMENT,1101,1481,79850.5,189885,280254
21:53:44,DELIVERY,2706,3256,3793,3851,3851
21:53:44,SLEV,1393,1566,1686,1693,1693
21:53:44,OSTAT,604,716,1012,1020,1020
21:53:46,NEWORD,1468,2298,3324,77784,223168
21:53:46,PAYMENT,1190,1510,2352,72095,190404
21:53:46,DELIVERY,3015,3638.5,4446,182525,182525
21:53:46,SLEV,1454,1557,1719,1856,1856
21:53:46,OSTAT,557,691.5,945,969,969
21:53:48,NEWORD,1583,2367,3223,71657,179742
21:53:48,PAYMENT,1216,1515,2160,95218,194041
21:53:48,DELIVERY,2848,3271,3751,4050,4050
21:53:48,SLEV,1419,1567,1711,1730,1730
21:53:48,OSTAT,482,692.5,980,1086,1086
21:53:50,NEWORD,1792,2285.5,364006,494769,494769
21:53:50,PAYMENT,1170,1457,171131,180557,180557
21:53:50,DELIVERY,3574,3889,178761,178761,178761
21:53:50,SLEV,1341,1471,1867,1867,1867
21:53:50,OSTAT,568,694,828,828,828
21:53:52,NEWORD,79635,127787,317583,317583,317583
21:53:52,PAYMENT,356493,445639,488522,488522,488522
21:53:52,OSTAT,905,905,905,905,905
21:53:54,NEWORD,1652,2310,3321,215903,238070
21:53:54,PAYMENT,1196,1499,3042,171650,193973
21:53:54,DELIVERY,2705,3179,3728,4032,4032
21:53:54,SLEV,1402,1618,1772,1781,1781
21:53:54,OSTAT,497,638.5,815,815,815
21:53:56,NEWORD,1693,2373,3327,187520,243711
21:53:56,PAYMENT,1189,1549.5,1946,7700,81089
21:53:56,DELIVERY,2946,3293,4218,76567,76567
21:53:56,SLEV,1399,1565,1906,1963,1963
21:53:56,OSTAT,483,723,825,1054,1054
21:53:58,NEWORD,1556,2402.5,4190,181158,272166
21:53:58,PAYMENT,1215,1586,3053,140415,190812
21:53:58,DELIVERY,2842,3347,21467,59882,59882
21:53:58,SLEV,1519,1613,1746,1842,1842
21:53:58,OSTAT,526,692,919,963,963
21:54:00,NEWORD,20380,111334,215411,218394,218394
21:54:00,PAYMENT,21494,61783,235564,235564,235564
21:54:00,SLEV,1828,1942.5,2057,2057,2057
21:54:02,NEWORD,21195,24588,112872,193680,193680
21:54:02,PAYMENT,20502,27866,190842,203362,203362
21:54:02,DELIVERY,21849,21849,21849,21849,21849
21:54:02,OSTAT,816,954,1092,1092,1092
21:54:04,NEWORD,1631,2383,23584,74813,138945
21:54:04,PAYMENT,1162,1556.5,2272,100888,177866
21:54:04,DELIVERY,2780,3057,3371,77807,77807
21:54:04,SLEV,1502,1604.5,1909,1933,1933
21:54:04,OSTAT,547,701,869,923,923
21:54:06,NEWORD,1576,2416,3328,182470,211122
21:54:06,PAYMENT,1170,1605,1977,77122,102656
21:54:06,DELIVERY,2846,3324,3959,4236,4236
21:54:06,SLEV,1539,1655,1718,2175,2175
21:54:06,OSTAT,595,742,1010,1159,1159
21:54:08,NEWORD,1536,2398,11639,158048,236230
21:54:08,PAYMENT,1228,1599,2217,80783,178559
21:54:08,DELIVERY,2460,3262.5,3691,64310,64310
21:54:08,SLEV,1474,1744.5,2051.5,2086,2086
21:54:08,OSTAT,624,732,875,1051,1051
21:54:10,NEWORD,1706,2355,3510,143656,203518
21:54:10,PAYMENT,1273,1625,2339,219750,234871
21:54:10,DELIVERY,2541,3174,3607,3818,3818
21:54:10,SLEV,1601,1716,1889,1946,1946
21:54:10,OSTAT,658,819,952,956,956
21:54:12,NEWORD,1658,2287.5,3175,78109,181771
21:54:12,PAYMENT,1251,1539,2117,168421,191836
21:54:12,DELIVERY,2650,3248,3711,4143,4143
21:54:12,SLEV,1483,1632,1771,1873,1873
21:54:12,OSTAT,565,722,950,954,954
21:54:14,NEWORD,1564,2331.5,3031,77716,209692
21:54:14,PAYMENT,1165,1586,2096,57436,68900
21:54:14,DELIVERY,2618,3161.5,3804,208855,208855
21:54:14,SLEV,1240,1376,1770,1837,1837
21:54:14,OSTAT,667,764,890,957,957
21:54:16,NEWORD,1542,2294,3027,89815,174600
21:54:16,PAYMENT,1126,1576,2144,77555,179694
21:54:16,DELIVERY,2469,3194,3614,3852,3852
21:54:16,SLEV,1203,1365,1548,1572,1572
21:54:16,OSTAT,637,806,1077,1118,1118
21:54:18,NEWORD,1581,2255.5,3100,100832,177736
21:54:18,PAYMENT,1109,1528.5,2049,155031,211733
21:54:18,DELIVERY,2639,3139,3437,3588,3588
21:54:18,SLEV,1178,1316,1410,1410,1410
21:54:18,OSTAT,601,758,1027,1096,1096
21:54:20,NEWORD,1401,2222,3071,87916,193365
21:54:20,PAYMENT,1175,1516,2397,156014,205635
21:54:20,DELIVERY,2514,3072,3893,4323,4323
21:54:20,SLEV,1223,1357,1530,1544,1544
21:54:20,OSTAT,623,888.5,1092,1092,1092
21:54:22,NEWORD,1555,2305,3011,46419,189497
21:54:22,PAYMENT,1162,1593,2289,86175,138139
21:54:22,DELIVERY,2540,3130,3658.5,3828,3828
21:54:22,SLEV,1293,1426,1605,1855,1855
21:54:22,OSTAT,627,782,954,1035,1035
21:54:24,NEWORD,1575,2295,3199,181093,257163
21:54:24,PAYMENT,1316,1621,4091,204231,441394
21:54:24,DELIVERY,2741,3144,3527,4914,4914
21:54:24,SLEV,1303,1482.5,1780,1780,1780
21:54:24,OSTAT,627,952.5,1493,1493,1493
21:54:26,NEWORD,1607,2345,77235,191717,236689
21:54:26,PAYMENT,1286,1626,1957,82126,84188
21:54:26,DELIVERY,2915,3121.5,3560,3698,3698
21:54:26,SLEV,1268,1455,2134,2151,2151
21:54:26,OSTAT,609,820,1239,1304,1304
21:54:28,NEWORD,1527,2258.5,3287,84809,159274
21:54:28,PAYMENT,1215,1589,2301,90774,180926
21:54:28,DELIVERY,2849,3078,3785,208428,208428
21:54:28,SLEV,1288,1411,1766,1830,1830
21:54:28,OSTAT,627,731,1051,1145,1145
21:54:30,NEWORD,1686,2291,3149,195525,214898
21:54:30,PAYMENT,1280,1663.5,3466,167297,274912
21:54:30,DELIVERY,2715,2983,100819,100819,100819
21:54:30,SLEV,1273,1421,1681,1893,1893
21:54:30,OSTAT,675,807,1158,1158,1158
21:54:32,NEWORD,1543,2296.5,2878,178444,188576
21:54:32,PAYMENT,1191,1662,2913,201322,214005
21:54:32,DELIVERY,2427,3227,3616,3624,3624
21:54:32,SLEV,1362,1477.5,1614,1614,1614
21:54:32,OSTAT,524,768,1132,1151,1151
21:54:34,NEWORD,1801,2447,3148,181334,205744
21:54:34,PAYMENT,1375,1760,3308,94908,177351
21:54:34,DELIVERY,2638,3417,3781,3990,3990
21:54:34,SLEV,1263,1506,1787,1822,1822
21:54:34,OSTAT,625,975,2667,2667,2667
21:54:36,NEWORD,1721,2340,100545,152654,198869
21:54:36,PAYMENT,1284,1745,62560,129682,202281
21:54:36,DELIVERY,2866,3246,3519,3519,3519
21:54:36,SLEV,1264,1594,1807,1807,1807
21:54:36,OSTAT,665,855.5,1103,1103,1103
21:54:38,NEWORD,37795,63367.5,213876,213876,213876
21:54:38,PAYMENT,21063,145588,226382,226382,226382
21:54:38,DELIVERY,144092,144092,144092,144092,144092
21:54:38,SLEV,1379,1520.5,1662,1662,1662
21:54:40,NEWORD,18667,34406,206652,210275,210275
21:54:40,PAYMENT,20984,25293,125965,182524,182524
21:54:40,DELIVERY,45668,45668,45668,45668,45668
21:54:40,SLEV,1601,1601,1601,1601,1601
21:54:40,OSTAT,875,918,1000,1000,1000
21:54:42,NEWORD,1499,2248,23812,204717,222154
21:54:42,PAYMENT,1254,1598,24496,87376,170539
21:54:42,DELIVERY,2421,3151,3343,3363,3363
21:54:42,SLEV,1223,1428,1663,2140,2140
21:54:42,OSTAT,650,807.5,938,965,965
21:54:44,NEWORD,1574,2242,2918,91639,178960
21:54:44,PAYMENT,1297,1659.5,2363,79724,150759
21:54:44,DELIVERY,2634,3104,3615,159502,159502
21:54:44,SLEV,1248,1433.5,1587,1823,1823
21:54:44,OSTAT,628,826.5,988,1114,1114
21:54:46,NEWORD,1699,2239,80740,196492,198307
21:54:46,PAYMENT,1233,1576,1961,2389,81059
21:54:46,DELIVERY,2736,2927,3213,3725,3725
21:54:46,SLEV,1322,1433,1586,1733,1733
21:54:46,OSTAT,641,851,1040,1156,1156
21:54:48,NEWORD,1675,2222,6992,153970,194026
21:54:48,PAYMENT,1204,1597,1995,90770,164022
21:54:48,DELIVERY,2488,2977,3192,3255,3255
21:54:48,SLEV,1263,1438,1633,1642,1642
21:54:48,OSTAT,518,761,1113,1157,1157
21:54:50,NEWORD,1540,2192,2668,96609,185115
21:54:50,PAYMENT,1202,1598.5,2104,88791,225393
21:54:50,DELIVERY,2713,3046,3591,4305,4305
21:54:50,SLEV,1252,1439.5,1546,1620,1620
21:54:50,OSTAT,625,802.5,899,967,967
21:54:52,NEWORD,1435,2164,2931,184285,199705
21:54:52,PAYMENT,1142,1600,2064,92151,97562
21:54:52,DELIVERY,2495,3063,66490,105008,105008
21:54:52,SLEV,1142,1355,1570,1626,1626
21:54:52,OSTAT,580,817,1069,1126,1126
21:54:54,NEWORD,1581,2171,2727,155452,200992
21:54:54,PAYMENT,1224,1589,1986,75908,187812
21:54:54,DELIVERY,2239,2959.5,3942,4076,4076
21:54:54,SLEV,1263,1415.5,1526,1701,1701
21:54:54,OSTAT,646,875,1119,1223,1223
21:54:56,NEWORD,1615,2122,2684,57246,200580
21:54:56,PAYMENT,1271,1630.5,2223,88313,168039
21:54:56,DELIVERY,2552,2898,3264,94107,94107
21:54:56,SLEV,1304,1455,1690,1780,1780
21:54:56,OSTAT,642,816,1107,1411,1411
21:54:58,NEWORD,1556,2117,3400,164489,224205
21:54:58,PAYMENT,1196,1533,3015,117542,479478
21:54:58,DELIVERY,2666,2805,3166,3491,3491
21:54:58,SLEV,1214,1356,1472,1860,1860
21:54:58,OSTAT,623,808,895,916,916
21:55:00,NEWORD,1425,2082,2691,63167,185068
