Time,Container Name,CPU Usage (seconds),Memory Usage (current),Memory Usage (peak)
2024-03-08 22:45:52,pgsql,119,2.80GB,2.81GB
2024-03-08 22:45:54,pgsql,121,2.80GB,2.81GB
2024-03-08 22:45:56,pgsql,122,2.80GB,2.81GB
2024-03-08 22:45:58,pgsql,125,2.80GB,2.81GB
2024-03-08 22:46:00,pgsql,129,2.80GB,2.81GB
2024-03-08 22:46:02,pgsql,131,2.80GB,2.81GB
2024-03-08 22:46:04,pgsql,134,2.80GB,2.81GB
2024-03-08 22:46:06,pgsql,137,2.80GB,2.81GB
2024-03-08 22:46:09,pgsql,141,2.80GB,2.81GB
2024-03-08 22:46:11,pgsql,144,2.80GB,2.81GB
2024-03-08 22:46:13,pgsql,146,2.80GB,2.81GB
2024-03-08 22:46:15,pgsql,149,2.80GB,2.81GB
2024-03-08 22:46:17,pgsql,152,2.80GB,2.81GB
2024-03-08 22:46:19,pgsql,154,2.81GB,2.81GB
2024-03-08 22:46:21,pgsql,158,2.80GB,2.81GB
2024-03-08 22:46:23,pgsql,158,2.80GB,2.81GB
2024-03-08 22:46:25,pgsql,159,2.80GB,2.81GB
2024-03-08 22:46:27,pgsql,159,2.80GB,2.81GB
2024-03-08 22:46:30,pgsql,159,2.80GB,2.81GB
2024-03-08 22:46:32,pgsql,160,2.80GB,2.81GB
2024-03-08 22:46:34,pgsql,160,2.81GB,2.81GB
2024-03-08 22:46:36,pgsql,160,2.81GB,2.81GB
2024-03-08 22:46:38,pgsql,160,2.81GB,2.81GB
2024-03-08 22:46:40,pgsql,161,2.81GB,2.81GB
2024-03-08 22:46:42,pgsql,161,2.81GB,2.81GB
2024-03-08 22:46:44,pgsql,161,2.81GB,2.81GB
2024-03-08 22:46:46,pgsql,162,2.81GB,2.81GB
2024-03-08 22:46:48,pgsql,162,2.81GB,2.81GB
2024-03-08 22:46:50,pgsql,162,2.81GB,2.81GB
2024-03-08 22:46:53,pgsql,162,2.81GB,2.81GB
2024-03-08 22:46:55,pgsql,163,2.81GB,2.81GB
2024-03-08 22:46:57,pgsql,163,2.81GB,2.81GB
2024-03-08 22:46:59,pgsql,163,2.81GB,2.81GB
2024-03-08 22:47:01,pgsql,163,2.81GB,2.81GB
2024-03-08 22:47:03,pgsql,163,2.81GB,2.81GB
2024-03-08 22:47:05,pgsql,164,2.81GB,2.81GB
2024-03-08 22:47:07,pgsql,164,2.81GB,2.81GB
2024-03-08 22:47:09,pgsql,164,2.81GB,2.81GB
2024-03-08 22:47:11,pgsql,165,2.81GB,2.81GB
2024-03-08 22:47:13,pgsql,165,2.81GB,2.81GB
2024-03-08 22:47:16,pgsql,165,2.81GB,2.81GB
2024-03-08 22:47:18,pgsql,166,2.81GB,2.81GB
2024-03-08 22:47:20,pgsql,166,2.81GB,2.82GB
2024-03-08 22:47:22,pgsql,166,2.85GB,2.85GB
2024-03-08 22:47:24,pgsql,167,2.85GB,2.85GB
2024-03-08 22:47:26,pgsql,168,2.82GB,2.85GB
2024-03-08 22:47:28,pgsql,168,2.83GB,2.85GB
2024-03-08 22:47:30,pgsql,169,2.83GB,2.85GB
2024-03-08 22:47:32,pgsql,169,2.82GB,2.85GB
2024-03-08 22:47:34,pgsql,169,2.82GB,2.85GB
2024-03-08 22:47:37,pgsql,169,2.82GB,2.85GB
2024-03-08 22:47:39,pgsql,169,2.82GB,2.85GB
2024-03-08 22:47:41,pgsql,169,2.82GB,2.85GB
2024-03-08 22:47:43,pgsql,170,2.82GB,2.85GB
2024-03-08 22:47:45,pgsql,170,2.82GB,2.85GB
2024-03-08 22:47:47,pgsql,170,2.82GB,2.85GB
2024-03-08 22:47:49,pgsql,171,2.82GB,2.85GB
2024-03-08 22:47:51,pgsql,171,2.82GB,2.85GB
2024-03-08 22:47:53,pgsql,171,2.82GB,2.85GB
2024-03-08 22:47:55,pgsql,172,2.82GB,2.85GB
2024-03-08 22:47:58,pgsql,172,2.82GB,2.85GB
2024-03-08 22:48:00,pgsql,172,2.82GB,2.85GB
2024-03-08 22:48:02,pgsql,173,2.82GB,2.85GB
2024-03-08 22:48:04,pgsql,173,2.82GB,2.85GB
2024-03-08 22:48:06,pgsql,173,2.82GB,2.85GB
2024-03-08 22:48:08,pgsql,174,2.82GB,2.85GB
2024-03-08 22:48:10,pgsql,174,2.82GB,2.85GB
2024-03-08 22:48:12,pgsql,174,2.82GB,2.85GB
2024-03-08 22:48:14,pgsql,174,2.82GB,2.85GB
2024-03-08 22:48:17,pgsql,174,2.83GB,2.85GB
2024-03-08 22:48:19,pgsql,174,2.83GB,2.85GB
2024-03-08 22:48:21,pgsql,174,2.83GB,2.85GB
2024-03-08 22:48:23,pgsql,175,2.84GB,2.85GB
2024-03-08 22:48:25,pgsql,175,2.84GB,2.85GB
2024-03-08 22:48:27,pgsql,175,2.85GB,2.85GB
2024-03-08 22:48:29,pgsql,176,2.83GB,2.85GB
2024-03-08 22:48:31,pgsql,176,2.83GB,2.85GB
2024-03-08 22:48:33,pgsql,177,2.83GB,2.85GB
2024-03-08 22:48:35,pgsql,177,2.83GB,2.85GB
2024-03-08 22:48:38,pgsql,177,2.83GB,2.85GB
2024-03-08 22:48:40,pgsql,177,2.83GB,2.85GB
2024-03-08 22:48:42,pgsql,178,2.83GB,2.85GB
2024-03-08 22:48:44,pgsql,178,2.83GB,2.85GB
2024-03-08 22:48:46,pgsql,178,2.83GB,2.85GB
2024-03-08 22:48:48,pgsql,178,2.83GB,2.85GB
2024-03-08 22:48:50,pgsql,178,2.83GB,2.85GB
2024-03-08 22:48:52,pgsql,179,2.83GB,2.85GB
2024-03-08 22:48:54,pgsql,179,2.83GB,2.85GB
2024-03-08 22:48:57,pgsql,179,2.83GB,2.85GB
2024-03-08 22:48:59,pgsql,179,2.83GB,2.85GB
2024-03-08 22:49:01,pgsql,180,2.83GB,2.85GB
2024-03-08 22:49:03,pgsql,180,2.83GB,2.85GB
2024-03-08 22:49:05,pgsql,180,2.83GB,2.85GB
2024-03-08 22:49:07,pgsql,180,2.83GB,2.85GB
2024-03-08 22:49:09,pgsql,181,2.83GB,2.85GB
2024-03-08 22:49:11,pgsql,181,2.83GB,2.85GB
2024-03-08 22:49:13,pgsql,181,2.83GB,2.85GB
2024-03-08 22:49:15,pgsql,181,2.83GB,2.85GB
2024-03-08 22:49:18,pgsql,182,2.83GB,2.85GB
2024-03-08 22:49:20,pgsql,182,2.83GB,2.85GB
2024-03-08 22:49:22,pgsql,182,2.83GB,2.85GB
2024-03-08 22:49:24,pgsql,182,2.83GB,2.85GB
2024-03-08 22:49:26,pgsql,182,2.83GB,2.85GB
2024-03-08 22:49:28,pgsql,183,2.84GB,2.85GB
2024-03-08 22:49:30,pgsql,183,2.84GB,2.85GB
2024-03-08 22:49:32,pgsql,183,2.84GB,2.85GB
2024-03-08 22:49:34,pgsql,184,2.84GB,2.85GB
2024-03-08 22:49:37,pgsql,184,2.84GB,2.85GB
2024-03-08 22:49:39,pgsql,184,2.84GB,2.85GB
2024-03-08 22:49:41,pgsql,184,2.84GB,2.85GB
2024-03-08 22:49:43,pgsql,184,2.84GB,2.85GB
2024-03-08 22:49:45,pgsql,185,2.84GB,2.85GB
